packet_id,source,destination,taille,priorite,latence_totale,chemin
PKT-0-0,PC1,PC2,100,1,0,
PKT-0-1,PC1,PC2,100,1,0,
PKT-0-2,PC1,PC2,100,1,0,
PKT-0-3,PC1,PC2,100,1,0,
PKT-0-4,PC1,PC2,100,1,0,
PKT-0-5,PC1,PC2,100,1,0,
PKT-0-6,PC1,PC2,100,1,0,
PKT-0-7,PC1,PC2,100,1,0,
PKT-0-8,PC1,PC2,100,1,0,
PKT-0-9,PC1,PC2,100,1,0,
PKT-0-10,PC1,PC2,100,1,0,
PKT-0-11,PC1,PC2,100,1,0,
PKT-0-12,PC1,PC2,100,1,0,
PKT-0-13,PC1,PC2,100,1,0,
PKT-0-14,PC1,PC2,100,1,0,
PKT-0-15,PC1,PC2,100,1,0,
PKT-0-16,PC1,PC2,100,1,0,
PKT-0-17,PC1,PC2,100,1,0,
PKT-0-18,PC1,PC2,100,1,0,
PKT-0-19,PC1,PC2,100,1,0,
PKT-0-20,PC1,PC2,100,1,0,
PKT-0-21,PC1,PC2,100,1,0,
PKT-0-22,PC1,PC2,100,1,0,
PKT-0-23,PC1,PC2,100,1,0,
PKT-0-24,PC1,PC2,100,1,0,
PKT-0-25,PC1,PC2,100,1,0,
PKT-0-26,PC1,PC2,100,1,0,
PKT-0-27,PC1,PC2,100,1,0,
PKT-0-28,PC1,PC2,100,1,0,
PKT-0-29,PC1,PC2,100,1,0,
PKT-0-30,PC1,PC2,100,1,0,
PKT-0-31,PC1,PC2,100,1,0,
PKT-0-32,PC1,PC2,100,1,0,
PKT-0-33,PC1,PC2,100,1,0,
PKT-0-34,PC1,PC2,100,1,0,
PKT-0-35,PC1,PC2,100,1,0,
PKT-0-36,PC1,PC2,100,1,0,
PKT-0-37,PC1,PC2,100,1,0,
PKT-0-38,PC1,PC2,100,1,0,
PKT-0-39,PC1,PC2,100,1,0,
PKT-0-40,PC1,PC2,100,1,0,
PKT-0-41,PC1,PC2,100,1,0,
PKT-0-42,PC1,PC2,100,1,0,
PKT-0-43,PC1,PC2,100,1,0,
PKT-1-44,PC1,PC2,100,1,0,
PKT-1-45,PC1,PC2,100,1,0,
PKT-1-46,PC1,PC2,100,1,0,
PKT-1-47,PC1,PC2,100,1,0,
PKT-1-48,PC1,PC2,100,1,0,
PKT-1-49,PC1,PC2,100,1,0,
PKT-1-50,PC1,PC2,100,1,0,
PKT-1-51,PC1,PC2,100,1,0,
PKT-1-52,PC1,PC2,100,1,0,
PKT-1-53,PC1,PC2,100,1,0,
PKT-1-54,PC1,PC2,100,1,0,
PKT-1-55,PC1,PC2,100,1,0,
PKT-1-56,PC1,PC2,100,1,0,
PKT-1-57,PC1,PC2,100,1,0,
PKT-1-58,PC1,PC2,100,1,0,
PKT-1-59,PC1,PC2,100,1,0,
PKT-1-60,PC1,PC2,100,1,0,
PKT-1-61,PC1,PC2,100,1,0,
PKT-1-62,PC1,PC2,100,1,0,
PKT-1-63,PC1,PC2,100,1,0,
PKT-1-64,PC1,PC2,100,1,0,
PKT-1-65,PC1,PC2,100,1,0,
PKT-1-66,PC1,PC2,100,1,0,
PKT-1-67,PC1,PC2,100,1,0,
PKT-1-68,PC1,PC2,100,1,0,
PKT-1-69,PC1,PC2,100,1,0,
PKT-1-70,PC1,PC2,100,1,0,
PKT-1-71,PC1,PC2,100,1,0,
PKT-1-72,PC1,PC2,100,1,0,
PKT-1-73,PC1,PC2,100,1,0,
PKT-1-74,PC1,PC2,100,1,0,
PKT-1-75,PC1,PC2,100,1,0,
PKT-1-76,PC1,PC2,100,1,0,
PKT-1-77,PC1,PC2,100,1,0,
PKT-1-78,PC1,PC2,100,1,0,
PKT-1-79,PC1,PC2,100,1,0,
PKT-1-80,PC1,PC2,100,1,0,
PKT-1-81,PC1,PC2,100,1,0,
PKT-1-82,PC1,PC2,100,1,0,
PKT-1-83,PC1,PC2,100,1,0,
PKT-1-84,PC1,PC2,100,1,0,
PKT-1-85,PC1,PC2,100,1,0,
PKT-1-86,PC1,PC2,100,1,0,
PKT-1-87,PC1,PC2,100,1,0,
PKT-2-88,PC1,PC2,100,1,0,
PKT-2-89,PC1,PC2,100,1,0,
PKT-2-90,PC1,PC2,100,1,0,
PKT-2-91,PC1,PC2,100,1,0,
PKT-2-92,PC1,PC2,100,1,0,
PKT-2-93,PC1,PC2,100,1,0,
PKT-2-94,PC1,PC2,100,1,0,
PKT-2-95,PC1,PC2,100,1,0,
PKT-2-96,PC1,PC2,100,1,0,
PKT-2-97,PC1,PC2,100,1,0,
PKT-2-98,PC1,PC2,100,1,0,
PKT-2-99,PC1,PC2,100,1,0,
PKT-2-100,PC1,PC2,100,1,0,
PKT-2-101,PC1,PC2,100,1,0,
PKT-2-102,PC1,PC2,100,1,0,
PKT-2-103,PC1,PC2,100,1,0,
PKT-2-104,PC1,PC2,100,1,0,
PKT-2-105,PC1,PC2,100,1,0,
PKT-2-106,PC1,PC2,100,1,0,
PKT-2-107,PC1,PC2,100,1,0,
PKT-2-108,PC1,PC2,100,1,0,
PKT-2-109,PC1,PC2,100,1,0,
PKT-2-110,PC1,PC2,100,1,0,
PKT-2-111,PC1,PC2,100,1,0,
PKT-2-112,PC1,PC2,100,1,0,
PKT-2-113,PC1,PC2,100,1,0,
PKT-2-114,PC1,PC2,100,1,0,
PKT-2-115,PC1,PC2,100,1,0,
PKT-2-116,PC1,PC2,100,1,0,
PKT-2-117,PC1,PC2,100,1,0,
PKT-2-118,PC1,PC2,100,1,0,
PKT-2-119,PC1,PC2,100,1,0,
PKT-2-120,PC1,PC2,100,1,0,
PKT-2-121,PC1,PC2,100,1,0,
PKT-2-122,PC1,PC2,100,1,0,
PKT-2-123,PC1,PC2,100,1,0,
PKT-2-124,PC1,PC2,100,1,0,
PKT-2-125,PC1,PC2,100,1,0,
PKT-2-126,PC1,PC2,100,1,0,
PKT-2-127,PC1,PC2,100,1,0,
PKT-2-128,PC1,PC2,100,1,0,
PKT-2-129,PC1,PC2,100,1,0,
PKT-2-130,PC1,PC2,100,1,0,
PKT-2-131,PC1,PC2,100,1,0,
